LAT	LON	CODE	NAME	INSTITUTION	FULL_TITLE	NAME_ENG	INST_ENG	GIN	COMMENT
60,051	150,728	MGD	Магадан	ИКИР ДВО РАН	Институт космофизических исследований и распространения радиоволн ДВО РАН	Magadan	IKIR FEB RAS	Edi	
43,910	144,190	MMB	Memambetsu			Memambetsu	JMA	Kyo	
61,170	314,570	NAQ	Narsarsuaq			Narsarsuaq	DTU	Kyo	
47,630	16,720	NCK	Nagycenk			Nagycenk	HAS	Edi	
48,270	242,880	NEW	Newport			Newport	USGS	Gol	
52,070	12,680	NGK	Niemegk			Niemegk	GFZ	Edi	
60,510	24,660	NUR	Nurmijarvi			Nurmijarvi	FMI	Edi	
54,850	83,230	NVS	Новосибирск	ИНГГ СО РАН	Институт нефтегазовой геологии и геофизики им. А.А.Трофимука СО РАН	Novosibirsk	IPGG SB RAS	Edi	
-60,737	315,260	ORC	Orcadas			Orcadas	SMN	Edi	
45,403	284,448	OTT	Ottawa			Ottawa	GSC	Ott	
-49,350	70,260	PAF	Port-aux-Francais			Port-aux-Francais	EOST	Par	
42,500	24,200	PAG	Panagjurishte			Panagjurishte	BAS	Edi	
66,500	273,8	RBY	Repulse Bay
38,100	23,900	PEG	Pedeli			Pedeli	IGME	Edi	
52,971	158,248	PET	Паратунка	ИКИР ДВО РАН	Институт космофизических исследований и распространения радиоволн ДВО РАН	Paratunka	IKIR FEB RAS	Edi	
21,030	105,950	PHU	Phuthuy			Phuthuy	VAST / IPGP	Par	
-31,400	296,120	PIL	Pilar			Pilar	SMN	Edi	
-17,570	210,420	PPT	Pamatai			Pamatai	IPGP	Par	
-51,700	302,110	PST	Port Stanley			Port Stanley	BGS	Edi	
74,690	265,105	RES	Resolute Bay			Resolute Bay	GSC	Ott	
62,2	284,3	SALU	Salluit
-77,850	166,780	SBA	Scott Base			Scott Base	GNS	Edi	
43,932	299,991	SBL	Sable Island			Sable Island	BGS	Edi	
36,667	354,055	SFS	San Fernando			San Fernando	RIOA	Par	
-15,011	354,003	SHE	Saint Helena			Saint Helena	GFZ	Kyo	
55,350	199,540	SHU	Shumagin			Shumagin	USGS	Gol	
57,060	224,670	SIT	Sitka			Sitka	USGS	Gol	
18,110	293,850	SJG	San Juan			San Juan	USGS	Gol	
67,370	26,630	SOD	Sodankyla			Sodankyla	SOD	Edi	
25,117	66,449	SON	Sonmiani			Sonmiani	SUPARCO	Edi	
60,580	29,650	SPG	Санкт-Петербург	СПбФ ИЗМИРАН	Санкт-Петербургский Филиал Института земного магнетизма, ионосферы и распространения радиоволн им. Н. В. Пушкова РАН	St. Petersburg	IZMIRAN SPb	Par	
39,550	355,650	SPT	San Pablo-Toledo			San Pablo-Toledo	IGNS	Par	
47,595	307,323	STJ	St John's			St John's	GSC	Ott	
44,680	26,250	SUA	Surlari			Surlari	GIR	Par	
22,790	5,530	TAM	Tamanrasset			Tamanrasset	CRAAG / IPGP	Par	
-37,067	347,685	TDC	Tristan da Cunha			Tristan da Cunha	DTU	Kyo	
77,470	290,770	THL	Qaanaaq (Thule)			Qaanaaq (Thule)	DTU	Kyo	
46,900	17,540	THY	Tihany			Tihany	ELGI	Edi	
-43,300	294,700	TRW	Trelew			Trelew	UNLP / RMIB	Edi	
-19,202	17,584	TSU	Tsumeb			Tsumeb	HMO	Edi	
-1,205	311,487	TTB	Tatuoca			Tatuoca	ON / GFZ	Kyo	
32,180	249,270	TUC	Tucson			Tucson	USGS	Gol	
59,903	17,353	UPS	Uppsala			Uppsala	SGU	Edi	
51,933	349,750	VAL	Valentia			Valentia	IMS	Edi	
48,520	236,580	VIC	Victoria			Victoria	GSC	Ott	
-70,683	351,718	VNA	Neumayer Station ?			Neumayer Station ?	AWI / GFZ	Kyo	
-78,464	106,835	VOS	Восток	ААНИИ	Арктический и антарктический научно-исследовательский институт	Vostok	AARI	Kyo	
-22,400	316,350	VSS	Vassouras			Vassouras	ON	Par	
47,931	15,866	WIC	Conrad Observatory			Conrad Observatory	ZAMG	Edi	
43,810	87,710	WMQ	Urumqi			Urumqi	CEA	Edi	
53,740	9,070	WNG	Wingst			Wingst	GFZ	Edi	
61,960	129,660	YAK	Якутск	ИКФИА СО РАН	Институт космофизических исследований и аэрономии СО РАН	Yakutsk	SHICRA SB RAS	Edi	
62,480	245,518	YKC	Yellowknife			Yellowknife	GSC	Ott	
