YYDDD;Month;Day ;Time (UT);SALU MLT;max dB/dt;SME;SYM/H;
;;;;;;;;
15321;Nov;17;3:20;23;7,2;218;-19;
;;;;;;;;
;;;;;;;;
15337;Dec;3;5:33;1,25;8,7;202;-5;
;;;;;;;;
15338;Dec;4;3:56;23,6;6,9;536;-2;
;;;;;;;;
15340;Dec;6;4:16;23,9;6,4;1003;-14;
;;;;;;;;
15340;Dec;6;23:47;19,3;8;758;-22;
;;;;;;;;
15341;Dec;7;5:10;0,45;6,2;475;-11;
;;;;;;;;
15342;Dec;8;0:38;19,6;11,1;783;-15;
;;;;;;;;
15344;Dec;10;4:21;23,6;11;855;-11;
;;;;;;;;
15346;Dec;12;3:25;22,6;8,8;294;-14;
;;;;;;;;
15346;Dec;12;3:38;22,9;6,3;489;-9;
;;;;;;;;
15350;Dec;16;3:14;22,4;11,7;362;-25;
;;;;;;;;
15354;Dec;20;5:31;0,9;8,7;1124;-12;
;;;;;;;;
15355;Dec;21;3:03;22,2;6,7;676;-134;
;;;;;;;;
15355;Dec;21;5:16;0,6;6,4;1039;-106;
;;;;;;;;
17002;Jan;2;3:47;23;8,8;573;-12;
;;;;;;;;
17005;Jan;5;0:40;19,6;12,9;1199;-25;
;;;;;;;;
17006;Jan;6;2:55;22;9,9;449;-26;
;;;;;;;;
17007;Jan;7;1:25;20,4;9,1;585;-22;
;;;;;;;;
17007;Jan;7;4:52;0,25;10,2;227;-14;
;;;;;;;;
17007;Jan;7;5:10;0,5;9;249;-17;
;;;;;;;;
17007;Jan;7;5:26;0,8;9,5;323;-17;
;;;;;;;;
17011;Jan;11;5:46;1,15;7,8;207;-17;
;;;;;;;;
17020;Jan;20;2:57;22,1;8,1;279;-17;
;;;;;;;;
17025;Jan;25;3:39;22,9;8,4;499;-12;
;;;;;;;;
17027;Jan;27;3:09;22,2;6,6;510;-23;
;;;;;;;;
17028;Jan;28;2:28;21,6;6,9;388;-13;
;;;;;;;;
17028;Jan;29;2:58;22,1;6,9;212;-18;
;;;;;;;;
17033;Feb;2;1:57;21;18,5;613;-22;
;;;;;;;;
17033;Feb;2;5:00;0,3;16,7;476;-20;
;;;;;;;;
17034;Feb;3;2:13;21,3;6,3;347;-19;
;;;;;;;;
17035;Feb;4;5:00;0,3;11,4;481;-23;
;;;;;;;;
17035;Feb;4;5:24;0,7;6,4;555;-22;
;;;;;;;;
17048;Feb;17;4:16;23,5;9,4;345;-11;
;;;;;;;;
17049;Feb;18;3:51;23,1;11,7;678;-32;
;;;;;;;;
17055;Feb;24;0:24;19,4;6,7;966;-20;
;;;;;;;;
17056;Feb;25;0:35;19,6;7,6;188;-17;
;;;;;;;;
17056;Feb;25;0:54;20;6,2;159;-16;
;;;;;;;;
17060;Mar;1;22:38;17,6;12,8;963;-56;
;;;;;;;;
17061;Mar;2;0:12;19,3;11,3;1003;-59;
;;;;;;;;
17061;Mar;2;4:37;0;16;871;-39;
