  0.43  0.43  0.42  0.42  0.42  0.42  0.42  0.42  0.42  0.43  0.43  0.43  0.43  0.43  0.44  0.44  0.44  0.45  0.45  0.45  0.47  0.47  0.48  0.48  0.48  0.49  0.49  0.49  0.51  0.51  0.51  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.51  0.51  0.51  0.51  0.49  0.49  0.48  0.48  0.48  0.47  0.47  0.45  0.45  0.45  0.44  0.44  0.44  0.43  0.43  0.43
  0.32  0.32  0.31  0.31  0.31  0.31  0.31  0.31  0.31  0.32  0.32  0.32  0.34  0.35  0.35  0.36  0.38  0.39  0.40  0.42  0.43  0.45  0.47  0.48  0.49  0.51  0.52  0.53  0.55  0.56  0.57  0.58  0.60  0.60  0.61  0.61  0.61  0.61  0.61  0.61  0.61  0.60  0.60  0.58  0.57  0.56  0.55  0.53  0.52  0.51  0.49  0.48  0.47  0.45  0.44  0.43  0.42  0.40  0.39  0.38  0.36  0.35  0.34  0.34
  0.23  0.22  0.22  0.21  0.21  0.21  0.21  0.21  0.21  0.22  0.22  0.23  0.25  0.26  0.27  0.29  0.31  0.32  0.35  0.36  0.39  0.42  0.43  0.45  0.48  0.51  0.52  0.55  0.57  0.58  0.61  0.62  0.64  0.65  0.66  0.68  0.68  0.68  0.68  0.68  0.66  0.65  0.64  0.62  0.61  0.58  0.57  0.55  0.53  0.51  0.48  0.45  0.44  0.42  0.39  0.38  0.35  0.34  0.31  0.30  0.29  0.27  0.26  0.25
  0.14  0.13  0.13  0.12  0.12  0.12  0.12  0.12  0.12  0.13  0.13  0.14  0.16  0.18  0.20  0.21  0.23  0.26  0.29  0.30  0.32  0.35  0.39  0.42  0.44  0.47  0.51  0.53  0.56  0.58  0.61  0.64  0.65  0.68  0.69  0.70  0.70  0.70  0.70  0.70  0.69  0.68  0.65  0.64  0.61  0.58  0.56  0.53  0.49  0.47  0.44  0.42  0.39  0.36  0.34  0.31  0.29  0.26  0.25  0.22  0.21  0.20  0.17  0.16
  0.08  0.06  0.05  0.05  0.04  0.04  0.04  0.04  0.05  0.05  0.06  0.08  0.09  0.10  0.13  0.14  0.17  0.20  0.22  0.25  0.27  0.30  0.32  0.35  0.39  0.42  0.45  0.48  0.52  0.55  0.57  0.61  0.64  0.65  0.68  0.69  0.69  0.70  0.69  0.69  0.68  0.65  0.62  0.60  0.57  0.55  0.51  0.48  0.44  0.42  0.38  0.35  0.32  0.30  0.27  0.25  0.22  0.20  0.18  0.16  0.14  0.12  0.10  0.09
  0.03  0.01  0.01  0.00  0.00 -0.01 -0.01  0.00  0.00  0.00  0.01  0.03  0.04  0.05  0.08  0.09  0.12  0.13  0.16  0.18  0.21  0.23  0.26  0.29  0.31  0.34  0.38  0.40  0.44  0.48  0.51  0.55  0.57  0.60  0.62  0.64  0.65  0.65  0.65  0.64  0.61  0.60  0.57  0.53  0.51  0.47  0.43  0.40  0.36  0.34  0.30  0.27  0.25  0.22  0.21  0.18  0.16  0.14  0.12  0.10  0.09  0.08  0.05  0.04
  0.00 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01  0.00  0.01  0.03  0.04  0.05  0.08  0.09  0.10  0.13  0.14  0.17  0.18  0.21  0.22  0.25  0.29  0.31  0.35  0.38  0.42  0.45  0.48  0.51  0.53  0.56  0.56  0.57  0.56  0.55  0.53  0.51  0.47  0.44  0.40  0.36  0.32  0.30  0.26  0.23  0.21  0.18  0.17  0.16  0.13  0.12  0.10  0.09  0.08  0.06  0.05  0.04  0.03  0.01
  0.00 -0.01 -0.03 -0.03 -0.03 -0.04 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.01  0.03  0.04  0.05  0.06  0.08  0.08  0.09  0.10  0.12  0.13  0.14  0.16  0.18  0.21  0.23  0.26  0.30  0.32  0.36  0.39  0.42  0.44  0.45  0.45  0.44  0.43  0.42  0.39  0.35  0.31  0.29  0.25  0.21  0.18  0.16  0.13  0.12  0.10  0.09  0.08  0.08  0.06  0.06  0.05  0.05  0.04  0.03  0.03  0.01  0.00
  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.01  0.01  0.03  0.04  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.06  0.06  0.09  0.10  0.13  0.17  0.20  0.23  0.26  0.29  0.31  0.31  0.32  0.31  0.30  0.27  0.25  0.22  0.18  0.14  0.12  0.08  0.06  0.04  0.03  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.01
  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.04  0.03  0.01  0.01  0.00 -0.01 -0.03 -0.03 -0.03 -0.03 -0.01  0.01  0.04  0.06  0.09  0.12  0.14  0.17  0.18  0.18  0.17  0.16  0.14  0.10  0.08  0.04  0.01 -0.01 -0.04 -0.05 -0.06 -0.06 -0.06 -0.06 -0.05 -0.04 -0.03 -0.01 -0.01  0.00  0.01  0.01  0.01  0.03  0.03  0.03
