  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00  0.00
 -0.01 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.04  0.06  0.06  0.06  0.06  0.06  0.06  0.06  0.04  0.04  0.04  0.04  0.04  0.04  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00
 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01  0.00  0.00  0.01  0.01  0.03  0.03  0.04  0.04  0.06  0.06  0.06  0.07  0.07  0.07  0.07  0.07  0.08  0.08  0.07  0.07  0.07  0.07  0.07  0.07  0.07  0.06  0.06  0.06  0.04  0.04  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.01  0.00  0.00  0.00
 -0.01 -0.01 -0.03 -0.03 -0.04 -0.04 -0.04 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.04 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.01  0.01  0.03  0.04  0.04  0.06  0.06  0.07  0.08  0.08  0.08  0.10  0.10  0.10  0.10  0.10  0.10  0.10  0.10  0.10  0.08  0.08  0.08  0.07  0.07  0.07  0.06  0.06  0.06  0.06  0.04  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.00  0.00
  0.00 -0.01 -0.03 -0.03 -0.04 -0.04 -0.06 -0.06 -0.06 -0.06 -0.07 -0.07 -0.06 -0.06 -0.06 -0.06 -0.06 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.01  0.03  0.03  0.04  0.06  0.07  0.07  0.08  0.10  0.10  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.10  0.10  0.08  0.08  0.08  0.07  0.07  0.07  0.06  0.06  0.06  0.06  0.04  0.04  0.04  0.04  0.03  0.03  0.01  0.01  0.00
  0.00  0.00 -0.01 -0.03 -0.03 -0.04 -0.04 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.03  0.04  0.06  0.06  0.07  0.08  0.10  0.11  0.11  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.11  0.11  0.10  0.10  0.08  0.08  0.07  0.07  0.06  0.06  0.06  0.06  0.06  0.06  0.04  0.04  0.04  0.04  0.04  0.03  0.03  0.01  0.01
  0.01  0.00  0.00 -0.01 -0.03 -0.03 -0.04 -0.04 -0.04 -0.06 -0.06 -0.06 -0.06 -0.04 -0.04 -0.04 -0.03 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.01  0.03  0.04  0.06  0.07  0.07  0.08  0.10  0.11  0.11  0.13  0.13  0.13  0.13  0.13  0.13  0.11  0.11  0.10  0.08  0.08  0.07  0.07  0.06  0.06  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.03  0.03
  0.03  0.01  0.00  0.00 -0.01 -0.01 -0.03 -0.03 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.03  0.03  0.04  0.06  0.06  0.07  0.08  0.10  0.11  0.11  0.13  0.13  0.13  0.13  0.13  0.11  0.10  0.10  0.08  0.07  0.06  0.06  0.04  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.03
  0.03  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.04  0.04  0.06  0.07  0.08  0.08  0.10  0.10  0.11  0.11  0.11  0.11  0.10  0.10  0.08  0.07  0.06  0.04  0.03  0.03  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.03
  0.03  0.03  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.06  0.07  0.07  0.08  0.08  0.10  0.10  0.08  0.08  0.07  0.07  0.06  0.04  0.03  0.01  0.00 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03
  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.06  0.06  0.07  0.07  0.07  0.06  0.06  0.04  0.04  0.03  0.01  0.00 -0.01 -0.03 -0.04 -0.04 -0.06 -0.06 -0.06 -0.06 -0.04 -0.04 -0.04 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.01  0.01  0.03  0.03
  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.06  0.06  0.04  0.04  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.03  0.03  0.01  0.00 -0.01 -0.03 -0.04 -0.06 -0.06 -0.07 -0.07 -0.08 -0.08 -0.08 -0.07 -0.07 -0.07 -0.06 -0.06 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.00  0.01
  0.00  0.00  0.01  0.01  0.03  0.03  0.04  0.04  0.04  0.04  0.06  0.06  0.06  0.06  0.06  0.06  0.06  0.06  0.04  0.04  0.04  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00 -0.01 -0.03 -0.04 -0.06 -0.06 -0.07 -0.08 -0.08 -0.10 -0.10 -0.10 -0.10 -0.10 -0.08 -0.08 -0.08 -0.07 -0.07 -0.06 -0.06 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01
 -0.01  0.00  0.00  0.01  0.03  0.04  0.04  0.06  0.06  0.06  0.07  0.07  0.07  0.07  0.06  0.06  0.06  0.06  0.04  0.04  0.03  0.03  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.03 -0.04 -0.04 -0.06 -0.07 -0.08 -0.08 -0.10 -0.10 -0.11 -0.11 -0.11 -0.11 -0.10 -0.10 -0.10 -0.10 -0.10 -0.08 -0.08 -0.08 -0.07 -0.07 -0.06 -0.06 -0.04 -0.03
 -0.04 -0.01  0.00  0.01  0.03  0.04  0.06  0.06  0.07  0.07  0.07  0.07  0.07  0.07  0.06  0.06  0.06  0.04  0.04  0.03  0.03  0.01  0.01  0.01  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.04 -0.04 -0.06 -0.07 -0.07 -0.08 -0.08 -0.10 -0.10 -0.11 -0.11 -0.11 -0.11 -0.11 -0.11 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.08 -0.08 -0.07 -0.06
 -0.06 -0.03 -0.01  0.01  0.03  0.04  0.06  0.07  0.07  0.08  0.08  0.07  0.07  0.06  0.06  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.01  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.04 -0.04 -0.06 -0.06 -0.06 -0.07 -0.08 -0.08 -0.08 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.10 -0.11 -0.11 -0.11 -0.11 -0.11 -0.11 -0.11 -0.11 -0.10 -0.08 -0.07
 -0.07 -0.04 -0.01  0.00  0.03  0.04  0.06  0.07  0.08  0.08  0.08  0.07  0.07  0.06  0.04  0.04  0.03  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.04 -0.04 -0.04 -0.06 -0.06 -0.07 -0.07 -0.07 -0.07 -0.08 -0.08 -0.08 -0.08 -0.08 -0.08 -0.08 -0.08 -0.08 -0.08 -0.10 -0.10 -0.11 -0.11 -0.13 -0.13 -0.13 -0.13 -0.13 -0.11 -0.11 -0.08
